prev_items,next_item,locale
['B09W9FND7K' 'B09JSPLN1M'],B09M7GY217,DE
['B076THCGSG' 'B007MO8IME' 'B08MF65MLV' 'B001B4TKA0'],B001B4THSA,DE
"['B0B1LGXWDS' 'B00AZYORS2' 'B0B1LGXWDS' 'B00AZYORS2' 'B0B1LGXWDS'
 'B0B1LGXWDS' 'B00AZYORS2' 'B0B1LGXWDS' 'B00AZYORS2']",B0767DTG2Q,DE
"['B09XMTWDVT' 'B0B4MZZ8MB' 'B0B7HZ2GWX' 'B09XMTWDVT' 'B0B4MZZ8MB'
 'B0B7HZ2GWX' 'B0B71CHT1L']",B0B4R9NN4B,DE
['B09Y5CSL3T' 'B09Y5DPTXN' 'B09FKD61R8'],B0BGVBKWGZ,DE
['B0749V8TC7' 'B0749W93VC' 'B0749TX4YP'],B0749TX4YS,DE
['B09SMK3R8H' 'B01N4ND0F9'],B08YNZT93Z,DE
['B09B2W5S9R' 'B09B2YFY6M' 'B09B2WGPRB'],B097CX2V3L,DE
['B01MQOR80Q' 'B095HS8R62' 'B09B31WTVY'],B09B32SSDT,DE
"['3649625660' 'B07N3SNQW5' 'B099JZ9L9Y' 'B07Q2CFPGH' 'B099KCMQ92'
 'B07Q2CFPGH' '3848520974']",B08R7G53T1,DE
['B07H1GQB36' 'B08DTZ3PTY'],B08G4DFMNN,DE
['B0927GXJPB' 'B003AO3LS6'],B09BD7P7XZ,DE
"['B07YPSZ566' 'B08G91WFQR' 'B08G97TPH8' 'B08G96F4ZF' 'B01H6JS4IC'
 'B0B42R2GKP' 'B0B5344X16']",B0B1J5T32Y,DE
['B09ZTSZV49' 'B09HXP3R6T' 'B0B5QR5DJC' 'B09SFTDW9W' 'B0B7RD1HQQ'],B09JGJ43YJ,DE
['B07LFQPX5L' 'B07LFPJTVF'],B07LFRP5SS,DE
"['B085QWM3KB' 'B001BAAV5W' 'B002GHKPQY' 'B010VC4AG6' 'B00B2IOQHM'
 'B0773V43RV' 'B000VVMY48']",B000VVSWBM,DE